2018-03,315067212049139490,15549765961.743273
2017-06,218784602251092080,30199442465.128727
2017-05,100076640370730336,23572314972.01526
2018-06,371533000557648783,16533308366.813036
2018-02,525487797694893304,23636574203.828976
2015-08,13675526628145667,159744029578.03113
2018-10,247784878897508715,14526936383.350008
2016-02,35976721417127390,69180681134.38849
2017-09,327586090267170700,30675032016.988724
2017-11,234162338645463319,15312465314.693544
2017-03,56372389627027613,23232253600.81683
2017-02,32497701028484277,23047230327.254303
2016-11,32063652665727275,24634294365.279953
2018-07,548389573884093767,27506077453.154327
2018-12,279518438392310163,16338844844.014668
2015-11,12583476104430362,53607614201.796776
2016-09,35060460913157551,25270403393.626083
2017-07,199503731837484666,25460300456.232986
2018-01,1745775524213227428,52106060636.84502
2019-01,13988384007071080,13954460713.077589
2017-01,31728112295093517,22507570807.719795
2016-03,30080460339750914,32797039087.356667
2016-10,42705203278890015,32112869584.914665
2015-10,11052272460855430,53901692120.53661
2015-09,9821946760863180,56511301521.033226
2016-12,66225169253198349,50318068074.68128
2017-12,893903890749972451,33439362876.108334
2018-08,366745455788155923,18483235826.894573
2016-05,31981390916556827,23746277028.263245
2018-09,244285201300061576,15213870989.523378
2016-06,31114050018381134,23021251389.812134
2017-08,272611078122291462,25905774673.990257
2016-04,23900730327612119,23361180502.721268
2017-10,220514507942186879,17498286426.768925
2017-04,56781256271069560,22355124545.395317
2016-01,22911076013331960,56596270931.31685
2016-07,30706184556173272,22629542449.24175
2015-12,19402278511760992,55899526672.35486
2018-05,437404482697267097,17422505108.986416
2018-04,274605905240383424,13153739247.92998
2018-11,268005206368653307,16034859008.681648
2016-08,31484196041993591,22396836435.95849
